Word 1,Word 2,Similarity (0-5),Nonsense (Optional),
قريب,قيادة,0,,
مطلقة,حضر,0,,
ملائمة,مفيد,4,,
خطورة,عبث,3,,
الدراسية,تعليم,5,,
المبيعات,دخل,4,,
الدعم,نشر,1,,
سار,وسط,0,,
الثابت,سهل,0,,
المنافسة,تعاون,5,,
يحمل,صنع,0,,
للمستخدمين,مستغل,4,,
فأر,تسلل,0,,
مساحة,وضع,0,,
مرتين,مزدوج,5,,
المقدسة,مكان,0,,
بوش,تقدم,0,,1st word might be Bush?
يحتل,مشغول,0,,
فهناك,موقع,0,,
قليل,كثير,5,,
معطيات,معلومات,5,,
الثقافات,حضارة,4,,
اعتبار,طيش,0,,
الديمقراطية,جمهورية,3.5,,
محلات,تلفزيون,0,,
التربة,الجامح,0,,
صعيد,رفع,0,,
عارضة,تهادى,0,,
الجمعية,تبرؤ,0,,
المدنيين,عسكري,5,,
جهاز,إلتواء,0,,
الفقر,ثروة,5,,
المزيد,أكثر,5,,
اليمين,صحيح,0,,
الجانبية,أختر,0,,
نيس,فرد,0,,"Nice - proper noun, city"
الموحد,دمج,5,,
هجمات,الدفاع,5,,
الممكن,محتمل,5,,
نقلها,تتأثر,0,,
الشيء,مسألة,0,,
عزيز,محبوب,5,,
السر,كلمة,2,,
مليئة,شاغرة,5,,
التقدم,ثبت,3.5,,
عهدة,اعتقال,4,,
صناديق,المالية,3,,
يحوي,غجر,0,,
بإضافة,طرح,1.5,,
الفيزيائية,إكراهي,0,,
الوقوف,هراوة,0,,
مقاس,صنف,0,,
الحين,نقطة,0,,
مزيج,الخضروات,0,,
الدائم,تزاحم,0,,
الفورمولا,التعبير,0,,
فخر,ساعة,0,,
الوصلة,قطع,5,,
توسع,انقباض,3,,
يتغير,سخر,0,,
الإفلات,بالوعة,0,,
النشاط,خاصية,0,,
رقيقة,إشراك,0,,
ولعل,ربما,5,,
الشوارع,فرصة,0,,
السلطنة,بلد,1,,
البرية,كبح,0,,
رئيس,قدم,0,,
تتمتع,إفراديا,0,,
الوجود,ثقافي,0,,
الكبار,صحراء,0,,
صناعي,إضراب,0,,
مخطط,تآمر,4,,
يرتفع,ميغاهرتز,0,,megahertz
يونايتد,بعيدا,0,,united
مميزات,خاصية,1,,
الأدنى,بعيدا,0,,
العثور,إنشاء,0,,
البالغين,جزيء,0,,
تطويرها,تطور,5,,
نقطة,تشير,0,,
إيجابية,سفر,0,,
والعدالة,إنصاف,5,,
بول,صنع,0,,
مساعدة,معونة,5,,
الأعيان,مشهور,3,,
نيو,الاهتمام,,Y,new
القصوى,موضع,0,,
إعطاء,جاع,0,,
بأداء,تنفيذ,4,,
جنبا,أسفل,1,,
مأخوذة,استمر,0,,
الرضا,استياء,3.5,,
عامًا,سن,5,,
هوك,حمامة,,Y,hook?
كود,بعيدا,,Y,code?
جرى,واشنطن,0,,Washington
مستوى,رفع,2,,
وعائي,اوعائي,5,,
ونظرا,منحت,0,,
التابع,سيطر,0,,
تنمو,منعطف,0,,
الناس,يسكن,0,,
الكثافة,قيادة,0,,
عُرف,جمعية,0,,
وحسن,سيئة,5,,
يدي,حبس,0,,
الأساطير,قصة,4,,
شمالي,ورنيش,0,,
الجنوبية,تعلم,0,,
العادية,استثنائي,4,,
بسيطة,صغير,0,,
وعائية,ردفان,0,,
الفعل,التعديل,0,,
الخفيفة,ظلام,0,,
اخرى,سابق,1,,
مائي,رسوبي,1,,
شرقي,شرقا,5,,
أ,انجستروم,,Y,
منزل,بعيدا,0,,
معقدة,منظم,5,,
الصيانة,رعاية,1,,
نظرًا,المستحقة,0,,
فلسفة,عقيدة,3,,
المستمر,متقطع,5,,
غلوب,أرض,0,,
اسفل,بارز,2,,
التعاون,منافسة,5,,
تحسن,هبوط,4,,
السير,رجل,0,,
كاملة,فارغة,5,,
الألم,احتفل,4,,
بإعادة,رع,,Y,
فوكس,فليم الأكذوبة,,Y,
مهارات,إنجاز,4,,
عجز,معرفة,0,,
مشتركة,مجالات,0,,
افتتاح,التضميغ,,Y,
إمام,قدما,0,,
تتخذ,أخذ,5,,
فقدت,ابن,0,,
كل,لا,0,,
فيلم,أخذ,0,,
كن,اختلف,0,,
الجاذبية,جاذبية,5,,
القوية,العاجز,5,,
أطلقت,ألغى,4,,
النار,تفريغ,0,,
عملت,مستغل,0,,
تطور,قديم,5,,
هنالك,هنا,5,,
داخل,خارج,5,,
المعمارية,بناء,5,,
يعتقدون,كفر,5,,
حمض,لاذع,0,,
المسؤولين,الموظف,4,,
أفقية,عمودي,5,,
أحدث,عصري,5,,
فوز,عنوان,0,,
بعدة,مختلف,0,,
المحترفين,الهاوي,2,,
المسؤولية,واجب,3,,
بدعم,ينفي,0,,
ضعيف,مائي,0,,
شحنة,حمولة,4,,
القنابل,مرر,0,,
فرق,إمبراطوري,0,,
تماما,استمر,2,,
حمل,المواصلات,0,,
برو,المضادة,,Y,pro?
عضلة,مرر,0,,
يضع,مجموعة,0,,
مقام,تكريس,0,,
معارضة,مقاومة,3,,
الأعلام,تبلد,0,,
السهول,مشتت,0,,
يزداد,بارز,0,,
يفتح,إغلاق,5,,
نعمة,تزيين,0,,
التعبير,بحث,0,,
شيخ,قديم,0,,
الحادية,متوسط,1,,
الجغرافي,قل,0,,
بيكر,التاجر,,Y,baker?
يواجه,وسط,0,,
مقال,ربط,0,,
الملكة,بقايا,0,,
أبرز,وحشي,0,,
مزايا,بالضرورة,0,,
يبعد,تفريغ,1,,
يثبت,دحض,5,,
انتظار,انتظر,5,,
وصول,تحقيق,1,,
امتدت,مشتت,3,,
لونه,اللون,5,,
بوت,يرقة,,Y,
أنشئت,تشكل,4,,
القصور,صحافة,0,,
السوداء,أبيض,5,,
الفرنسيون,استراحة,0,,
الهزيمة,رزمة,0,,
الاطلاع,فحص,3,,
بشكلٍ,تنظم,0,,
سلطنة,بلد,1,,
تكامل,فصل,5,,
القلعة,اذهب,0,,
التحقق,تأكيد,3,,
التوراة,توراة,5,,
فيلق,مضيف,0,,
الدوار,شريط,0,,
تاء,خمسة,0,,
حمص,شواء,0,,
موانئ,خمر,0,,
الاتحادية,صحيح,0,,
يشير,بطلان,0,,
رجل,مدني,1,,
ويبدأ,النهاية,5,,
كلمات,غنائية,2,,
بوي,ابن,,Y,boy?
سبحانه,ألوهية,4,,
المنخفضة,ارتفاع,5,,
نار,مصطنع,0,,
الأمامية,بحث,0,,
اجتماعي,انطوائي,5,,
نابليون,بونابرت,5,,Napoleon Bonaparte
السيف,شفرة,0,,
السد,منع,5,,
تمثيل,تفويض,3,,
تتناول,عنوان,0,,
كامل,فارغة,5,,
نوعية,الاختيار,0,,
حنان,وجع,2,,
سويدية,الشمال,0,,
مصالح,تجويف,0,,
الحق,مركز,0,,
الكامل,انصرف,0,,
الشكل,أرض,0,,
مصدر,بالوعة,3,,
عبرية,عبري,5,,
الدواء,جرعة,3,,
ردود,إجابة,5,,
القديمة,جديد,5,,
اليسرى,نخبة,0,,
يصل,تأتي,4,,
الواسعة,اختيار,0,,
أفضل,أسوأ,5,,
بقيادة,الصمام,0,,
خسائر,المكاسب,5,,
الانتباه,حضور,3,,