Word 1,Word 2,Similarity
البرمجيات,الفنية,0.325
شكلها,حدد,0.175
جزءاً,كليا,0.85
مسلمون,مسلم,1.0
عكس,مواجه,0.7
التعادل,دمج,0.525
إجازة,تألق,0.0
متر,قياس,0.6
المنفذ,عمل,0.5
المستقبل,التالى,0.85
غياب,تجريب,0.0
تزيد,مستحق,0.1
السلع,كامل,0.3
تحسين,هبوط,0.575
اللعب,ضيق,0.15
الجزيئي,تستعد,0.025
شاء,توريث,0.15
الفتيات,صبي,0.925
موضع,ضع,0.6
يزال,متحرك,0.4
الجسم,جسد,0.975
الترفيهية,تسلية,0.95
سؤال,دردشة,0.65
الحديدي,تسوية,0.025
الأخيرة,أولا,0.95
عبيد,حر,0.8
القومية,داخلي,0.55
السنية,السني,1.0
تعيش,مسجل,0.05
اهتم,تجويف,0.0
السلف,الرائد,0.2
الصعيد,مسطحة,0.2
النسبية,مطلق,0.65
الجيد,سيئة,0.9
الجماهير,كثرة,0.725
الوفيات,نقل,0.425
أقارب,متناسب,0.6
العدو,تطلب,0.15
عملها,قسمت,0.2
التجاري,تعامل,0.45
الجذور,شرط,0.025
يصعب,الصعب,0.975
ميلادية,إعلان,0.175
نشاط,تراخ,0.95
الدستورية,مدمج,0.225
أخت,أخ,0.925
غازي,سائل,0.775
راشد,حدث,0.15
أخوه,رفيق,0.8
أعلى,أسفل,0.95
المئذنة,برج,0.6
المدنية,مهذب,0.375
أخي,أخت,0.925
النحو,زرنيخ,0.0
أخو,أخت,0.925
خانة,رزمة,0.2
السيناريو,افتراض,0.825
عمل,تراخ,0.85
شاب,جديد,0.25
معينة,إنقاذ,0.25
وطنية,وابل,0.15
علما,رصد,0.55
مؤقت,عشرة,0.075
المجلة,خرطوشة,0.125
يتفق,عقيدة,0.6
ميدالية,زخرفة,0.525
سائر,سابق,0.25
أسباب,اختتام,0.05
اللوحات,صورة,0.8
مواصلة,توقف,0.4
اهل,قوم,0.725
معنى,حامل,0.05
يتحول,منعطف,0.3
عادية,غريب,0.925
بقرار,إعلان,0.725
علوية,هدف,0.15
يعمل,النبات,0.175
منفرد,مشترك,0.7
تكوين,تشكيل,0.975
يقبل,قريب,0.15
بيته,كردي,0.2
الانتشار,نشرها,0.975
العدل,رسم,0.05
طبيعية,اتفاقية,0.075
مركب,بسيط,0.4
العديدة,قليل,0.875
اختصار,قطع,0.625
القرن,مائة,0.8
يعاني,استمتع,0.75
المكان,ستوديو,0.525
ارتفاع,منخفض,0.925
غضب,أثار,0.375
جيداً,سوء,0.925
الانترنت,شبكة,0.925
جثة,جيفة,0.975
حصل,ضائع,0.15
قتال,معركة,0.95
دعوة,اسم,0.225
الإخراج,خلق,0.175
بنحو,تقريبا,0.9
اعتمدت,وضيع,0.075
الصوتي,صوت,1.0
باللهجة,لغة,0.85
فنون,انضباط,0.475
محفوظ,الحضور,0.0
للدفاع,مناصفة,0.125
أبعد,المزيد,0.35
قصير,الحالي,0.1
العلوي,أسفل,0.925
لاحق,خفي,0.05
سائل,شفاف,0.35
جغرافي,مغنطيسي,0.2
التجارة,بضائع,0.825
جزءًا,نلتقي,0.025
جودة,الاختيار,0.2
مغتربون,عززت,0.0
الصليبية,مصلح,0.175
مستعمرة,مستوطنة,0.925
الجمعيات,تبرؤ,0.075
بلورات,تبلور,0.9
الحروب,ضرورة,0.15
عانى,عمل,0.225
افتتح,إغلاق,0.95
بقرية,بلدة,0.8
هام,تافه,0.925
منتخب,مشاة,0.075
أيقونة,صورة,0.775
الخدمة,خدمة,1.0
كاتب,مؤلف,1.0
التجميع,تلفيق,0.625
إحسان,خير,0.925
سلف,ضع,0.0
كافة,لا,0.65
ملعب,منتجع,0.65
الحاصل,عدد,0.45
صوتية,صحي,0.025
اجتمع,يوسف,0.0
أزمة,مرحلة,0.35
تمنح,عرض,0.3
يتيمة,نشط,0.0
مركز,اليسار,0.525
الضعف,قوة,0.95
المباراة,تعارض,0.65
الجملة,تبرئة,0.05
السفلى,دائري,0.25
مقابلة,سؤال,0.8
تمنع,الاختيار,0.375
تشبه,مماثل,0.975
منازل,سلطات,0.05
الصغار,حفظ,0.45
إطلاق,اتركها,0.4
الموافقة,استنكار,0.875
السائد,سائد,1.0
تركيز,خاصية,0.425
النخيل,مقبض,0.025
الرقمي,فطري,0.1
بنات,صبي,0.925
طور,تتطور,0.925
المتعددة,المنتج,0.125
كلية,الجسم,0.3
الكرة,لفة,0.3
امبراطورية,الامبرياليين,0.925
المنفى,فرصة,0.05
تجنب,مواجهة,0.7
الإثنية,ثقافي,0.4
أوائل,ارتفاع,0.15
النحاس,معطف,0.1
الأرضية,الشكل,0.225
يتسبب,فعل,0.575
مفتاح,تجبر,0.175
روابط,الانقطاع,0.85
تسلسل,تأكد,0.05
خضراء,ناضجة,0.65
مبكر,سابق,0.75
يدعو,اسم,0.45
البر,إثم,0.6
الخلافات,الانحراف,0.475
جعله,فشل,0.25
الفوائد,ربح,0.75
لعبت,ضيق,0.025
طول,بعد,0.65
مناسبة,سبب,0.5
الفعالة,فعال,1.0
يجعل,مرحبا,0.0
قرب,بعيدا,0.95
علاقات,الانقطاع,0.75
مفتوح,منحل,0.225
طرح,علامة,0.2
بتعديل,وصف,0.15
التجارب,خبرة,0.85
يبدأ,حضر,0.175
بأكثر,أقل,0.925
الاتفاق,قذيفة,0.2
كثيرًا,القليل,0.95
الصدر,صدر,1.0
تؤدي,بحث,0.25
ينقسم,متحد,0.925
عمر,تجديد,0.25
طبيعي,منتصر,0.025
السلة,الأطواق,0.275
التطورات,تفويض,0.2
العجز,قيادة,0.625
لجان,عمولة,0.425
بطول,بعد,0.6
يدعم,دعم,1.0
بجميع,لا,0.15
درويش,الفقير,0.725
كاري,فستان,0.05
الاقتباس,توصية,0.15
الصورة,تصور,0.975
المنقار,أقلق,0.0
الدائرة,تعميم,0.025
السفلي,تجبر,0.1
المحاصيل,زرع,0.825
يزيد,نقصان,0.875
تأسيسها,الغرب,0.15
القطبية,الخسران,0.0
الأسئلة,شكل,0.075
الشعري,شعري,1.0
نقابة,عزز,0.1
هيئة,جسد,0.725
إم,الأب,0.925
هوائية,التحدي,0.125
امتداد,تزاحم,0.15
الشائعة,متبادل,0.4
السود,أبيض,0.95
الغربي,غربي,1.0
زيادة,جناح,0.15
الأرمن,الأرميني,1.0
محلي,تلفيق,0.2
اتصالات,التواصل,0.9
حبيب,مروحة,0.0
السلم,الهدوء,0.875
