method,model,spearman,pearson
frequency,NA,-0.023216087202511324,-0.012608287962194542
domain,NA,0.14350602416521441,-0.043615934040657493
synonyms,NA,-0.034259529003400381,-0.011959842887432912
similarity,control,0.14350602416521441,-0.043615934040657493
similarity,tokens,0.14350602416521441,-0.043615934040657493
similarity,lemmas,0.14350602416521441,-0.043615934040657493
weighted similarity,control,0.14350602416521441,-0.043615934040657493
weighted similarity,tokens,0.14350602416521441,-0.043615934040657493
weighted similarity,lemmas,0.14350602416521441,-0.043615934040657493
mean similarity,control,0.17891963109354411,0.13963522004876464
mean similarity,tokens,0.094466403162055346,0.1103736591506491
mean similarity,lemmas,0.063899868247694336,0.1273274010113464